Genes,Type,Class,Mechanism,Group
MEG_2887|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|FARR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,FARR
MEG_7582|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,Drugs,Glycopeptides,VanC-type resistance protein,VANXYC
MEG_3643|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,Drugs,MLS,MLS resistance ABC efflux pumps,LSA
MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_3775|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_5150|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,Biocides,Acid resistance,Acid resistance protein,ASR
MEG_5061|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3088|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_335|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,Drugs,betalactams,Class A betalactamases,CTX
MEG_2583|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK,Drugs,Trimethoprim,Dihydrofolate reductase,DFRK
MEG_3108|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_7168|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_6900|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_145|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_878|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6503|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,SILE
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,YDEO
MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,Drugs,Trimethoprim,Dihydrofolate reductase,DFRE
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,FEXA
MEG_3774|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_4796|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_2469|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCD,Metals,Multi-metal resistance,Multi-metal RND efflux regulator,CZCD
MEG_1679|Drugs|MLS|23S_rRNA_methyltransferases|CFR,Drugs,MLS,23S rRNA methyltransferases,CFR
MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,CPXAR
MEG_1835|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,Biocides,Acid resistance,Acid resistance regulator,GADE
MEG_7679|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_7830|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,YGIW
MEG_6893|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1547|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MSBA
MEG_2747|Drugs|MLS|Macrolide_esterases|EREA,Drugs,MLS,Macrolide esterases,EREA
MEG_1437|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1332|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3613|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUF
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,GLPF
MEG_1814|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3909|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXE
MEG_1331|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1564|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_997|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_1948|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_2696|Drugs|betalactams|Class_B_betalactamases|EBR,Drugs,betalactams,Class B betalactamases,EBR
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_7361|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,Drugs,Glycopeptides,VanC-type resistance protein,VANC
MEG_5911|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_4068|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,Drugs,MLS,MLS resistance ABC efflux pumps,MSRA
MEG_2681|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH4
MEG_1819|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3874|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,Metals,Mercury resistance,Mercury resistance protein,MERP
MEG_5970|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_4940|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_922|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_826|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,Metals,Copper resistance,Copper resistance protein,PCOC
MEG_3022|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSG,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSG
MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_1368|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3090|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_5284|Drugs|betalactams|Class_A_betalactamases|OXY,Drugs,betalactams,Class A betalactamases,OXY
MEG_4040|Drugs|MLS|Macrolide_phosphotransferases|MPHC,Drugs,MLS,Macrolide phosphotransferases,MPHC
MEG_1647|Drugs|betalactams|Class_A_betalactamases|CEPA,Drugs,betalactams,Class A betalactamases,CEPA
MEG_2662|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,DPR
MEG_4600|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_756|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_1978|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3805|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETB
MEG_1829|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1233|Drugs|betalactams|Class_C_betalactamases|BIL,Drugs,betalactams,Class C betalactamases,BIL
MEG_1451|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4973|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_5826|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACC,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACC
MEG_7167|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_6915|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_5923|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_7273|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB,Biocides,Phenolic compound resistance,Phenolic RND efflux pump,TRIB
MEG_4519|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3877|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,Metals,Mercury resistance,Mercury resistance protein,MERP
MEG_1898|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_907|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6606|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_7828|Metals|Copper_resistance|Copper_resistance_protein|YFMO,Metals,Copper resistance,Copper resistance protein,YFMO
MEG_5892|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_3612|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUE,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUE
MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7071|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETE
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CUSF
MEG_4023|Drugs|betalactams|Class_C_betalactamases|MOX,Drugs,betalactams,Class C betalactamases,MOX
MEG_6588|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_3792|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_3115|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_3069|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSD,Drugs,Fusidic acid,Ribosomal zinc-binding protein,FUSD
MEG_1329|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6610|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_7061|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETC
MEG_7287|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,TTGA
MEG_5999|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_1798|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2614|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|DHAP,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,DHAP
MEG_1768|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6688|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2802|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_3907|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXD
MEG_4194|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMJ,Drugs,Metronidazole,nim nitroimidazole reductase,NIMJ
MEG_1246|Drugs|betalactams|Class_A_betalactamases|BLAA,Drugs,betalactams,Class A betalactamases,BLAA
MEG_6576|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,Biocides,Multi-biocide resistance,Multi-biocide SMR efflux pump,SUGE
MEG_3832|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,MEPA
MEG_6884|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKC
MEG_6014|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRD
MEG_4217|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NREB,Metals,Multi-metal resistance,Multi-metal resistance protein,NREB
MEG_5090|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3815|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_7102|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETL
MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX,Drugs,betalactams,Class A betalactamases,CFX
MEG_6159|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,Drugs,Nucleosides,Streptothricin acetyltransferase,SAT
MEG_4210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,NORB
MEG_5771|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PERO,Metals,Multi-metal resistance,Multi-metal resistance protein,PERO
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,Metals,Copper resistance,Copper resistance protein,CUTA
MEG_1387|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4867|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_4098|Drugs|betalactams|Class_B_betalactamases|MUS,Drugs,betalactams,Class B betalactamases,MUS
MEG_1548|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,Drugs,Phenicol,Chloramphenicol acetyltransferases,CAT
MEG_3901|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXB
MEG_1206|Drugs|betalactams|Class_B_betalactamases|BCII,Drugs,betalactams,Class B betalactamases,BCII
MEG_1007|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9
MEG_4776|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_754|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_7681|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_6085|Drugs|Rifampin|Monooxygenase|ROX,Drugs,Rifampin,Monooxygenase,ROX
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32
MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_3089|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_7226|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_4031|Drugs|MLS|Macrolide_phosphotransferases|MPHB,Drugs,MLS,Macrolide phosphotransferases,MPHB
MEG_6546|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,Biocides,Peroxide resistance,peroxide resistance protein,SODB
MEG_833|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_5425|Metals|Copper_resistance|Copper_resistance_regulator|PCOS,Metals,Copper resistance,Copper resistance regulator,PCOS
MEG_1135|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Drugs,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_4196|Metals|Nickel_resistance|Nickel_resistance_protein|NIRB,Metals,Nickel resistance,Nickel resistance protein,NIRB
MEG_1744|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEE,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal RND efflux pumps,CMEE
MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2525|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_365|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEJ,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEJ
MEG_1824|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6969|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32
MEG_6883|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3880|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,Metals,Mercury resistance,Mercury resistance regulator,MERR
MEG_2654|Metals|Copper_resistance|Copper_resistance_protein|DNAK,Metals,Copper resistance,Copper resistance protein,DNAK
MEG_1568|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_6534|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|SMR,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,SMR
