Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:87487,IS,NA,IS100kyp,YPE_4316,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:plasmid:17225,Plasmid,Plasmid ARG,cop protein,pMRC01_064,NA,NA,NA,NA,NA,NA
gene:plasmid:138740,Plasmid,Plasmid biosynthesis_regulatory_enzymes,Glutathione-dependent formaldehyde dehydrogenase,SPOA0272,NA,NA,NA,NA,NA,NA
gene:plasmid:147483,Plasmid,Plasmid biosynthesis_regulatory_enzymes,Diguanylate cyclase with GAF sensor,Shewana3_4330,NA,NA,NA,NA,NA,NA
gene:plasmid:20572,TE,NA,TnpA1,D786_p106,ISPre1,NA,NA,Pseudomonas resinovorans,1945,0
gene:proph:176457,Prophage,NA,hypothetical protein,NWMN_0295,NA,NA,NA,NA,NA,NA
gene:proph:168819,Prophage,NA,transposase and inactivated derivative,RPD_1990,NA,NA,NA,NA,NA,NA
gene:plasmid:29010,Plasmid,PREPIM,rep protein,Q172_2,NA,NA,NA,NA,NA,NA
gene:plasmid:151090,Plasmid,Unclassified plasmid gene,unknown protein,SAUSA300_pUSA010002,NA,NA,NA,NA,NA,NA
gene:vir:102931,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:13205,Plasmid,Plasmid biosynthesis_regulatory_enzymes,GOX2515,BT_RS24240,NA,NA,NA,NA,NA,NA
gene:plasmid:15196,IS,NA,ISDra1,DR_B0117,ISDra1,IS4,IS10,Deinococcus radiodurans,1855,0
gene:proph:170198,Prophage,NA,hypothetical protein,ELI_00770,NA,NA,NA,NA,NA,NA
gene:proph:181295,Prophage,NA,None,SSON_2409,NA,NA,NA,NA,NA,NA
gene:proph:179395,Prophage,NA,hypothetical protein,c0939,NA,NA,NA,NA,NA,NA
gene:proph:184775,Prophage,NA,hypothetical protein,LREU_RS04445,NA,NA,NA,NA,NA,NA
gene:plasmid:84390,Plasmid,Plasmid secretion or conjugation machinery,TrbJ conjugal transfer protein,pMATVM7_21,NA,NA,NA,NA,NA,NA
gene:proph:168363,Prophage,NA,phage integrase,Psyc_0479,NA,NA,NA,NA,NA,NA
gene:plasmid:148437,IS,NA,ISTth4,TTH_RS10640,ISTth4,IS256,None,Thermus thermophilus,2420,0
gene:plasmid:14967,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,GcrD glutaredoxin stress protein,pTP10_p46,NA,NA,NA,NA,NA,NA
gene:proph:171017,Prophage,NA,"prophage LambdaSa04, terminase, large subunit",SAK_0742,NA,NA,NA,NA,NA,NA
gene:vir:3432,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:24611,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,nac nitrogen utilization stress response protein,R27_p147,NA,NA,NA,NA,NA,NA
gene:plasmid:109626,Plasmid,PREPIM,replication protein,pMG8281_01,NA,NA,NA,NA,NA,NA
gene:plasmid:15590,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,PDDEXK DNA recombination and repair protein,EF_B0008,NA,NA,NA,NA,NA,NA
gene:plasmid:83767,TE,NA,TnAs3,YpIP275_pIP1202_0165,TnAs3,NA,NA,Aeromonas salmonicida,3402,0
ICEberg|191|10270-RD.2|GenBank|CP000260|1312338..1346637,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103660,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:145675,Plasmid,Unclassified plasmid gene,unknown protein,Pcryo_2491,NA,NA,NA,NA,NA,NA
gene:proph:179392,Prophage,NA,hypothetical protein,c0940,NA,NA,NA,NA,NA,NA
gene:plasmid:19726,Plasmid,PREPIM,repA6,D742_p2094,NA,NA,NA,NA,NA,NA
gene:plasmid:84427,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Lys colicin precursor protein for cytotoxins,SSON_PB03,NA,NA,NA,NA,NA,NA
gene:plasmid:85127,Plasmid,Plasmid transposition_recombination_integration,Satphylococcus pSERP site-specific recombinase,pLEW6932_p21,NA,NA,NA,NA,NA,NA
gene:plasmid:126349,Plasmid,PREPIM,rep protein,PPI1_p33,NA,NA,NA,NA,NA,NA
gene:proph:181707,Prophage,NA,phage protein,M28_Spy1854,NA,NA,NA,NA,NA,NA
gene:plasmid:151232,TE,NA,IS629-like transposase with group II intron,pCoo081,IS1203,NA,NA,Escherichia coli,906,0
gene:proph:163811,Prophage,NA,hypothetical protein,EcE24377A_0993,NA,NA,NA,NA,NA,NA
gene:plasmid:117984,Plasmid,Plasmid biosynthesis_regulatory_enzymes,NUDIX hydrolase enzyme,Mmcs_5595,NA,NA,NA,NA,NA,NA
gene:proph:172467,Prophage,NA,phage prohead protease,ECs_1633,NA,NA,NA,NA,NA,NA
gene:proph:177487,Prophage,NA,tail component of prophage CP-933K,Z0976,NA,NA,NA,NA,NA,NA
gene:plasmid:150073,Plasmid ARG,Plasmid ARG,Oxa-2 beta-lactamase precursor,pB8_032,NA,NA,NA,NA,NA,NA
gene:proph:176781,Prophage,NA,lambda prophage Bor protein,APECO1_244,NA,NA,NA,NA,NA,NA
gene:proph:179482,Prophage,NA,hypothetical protein,c3196,NA,NA,NA,NA,NA,NA
gene:plasmid:158161,Plasmid ARG,Plasmid ARG,TetR/AcrR family transcriptional regulator,RER_RS01145,NA,NA,NA,NA,NA,NA
gene:plasmid:19402,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,yacB heat stress response protein,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:19576,Plasmid,Plasmid secretion or conjugation machinery,ygfA peptidoglycan cleavage near T4SS,D616_p97001,NA,NA,NA,NA,NA,NA
gene:proph:163564,Prophage,NA,phage terminase large subunit,SH2358,NA,NA,NA,NA,NA,NA
gene:plasmid:17265,Plasmid,Unclassified plasmid gene,unknown protein,pSRQ900_02,NA,NA,NA,NA,NA,NA
gene:plasmid:85129,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,CstR sulfide stress protein,pLEW6932_p18,NA,NA,NA,NA,NA,NA
gene:proph:176733,Prophage,NA,minor tail protein,APECO1_2018,NA,NA,NA,NA,NA,NA
gene:proph:169078,IS,NA,IS1 ORF2,SBO_4162,IS1F,IS1,None,Escherichia coli,975,0
gene:vir:104426,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:30133,Plasmid,Unclassified plasmid gene,Putative Cac DNA binding protein,pIE1130p05,NA,NA,NA,NA,NA,NA
gene:vir:95350,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:5720,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
rep20_6_repA(SAP059A)_GQ900480.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:101415,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15266,TE,NA,TnpB accessory system,pUO1_04,IS1071,NA,NA,Alcaligenes sp.,5737,0
gene:proph:176862,Prophage,NA,hypothetical protein,APECO1_4197,NA,NA,NA,NA,NA,NA
gene:plasmid:155313,Plasmid ARG,Plasmid ARG,putative magnesium transporter CorA,pRH45II_p12,NA,NA,NA,NA,NA,NA
gene:proph:182996,Prophage,NA,phage NinH protein,EcHS_A0301,NA,NA,NA,NA,NA,NA
ICEberg|165|ICE6094|GenBank|FR670347|1..61030,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:167243,Prophage,NA,hypothetical protein,SERP1553,NA,NA,NA,NA,NA,NA
ICEberg|366|ICESpnN24|GenBank|EU676246|1..359,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:182861,Prophage,NA,phage protein,MGAS2096_Spy0557,NA,NA,NA,NA,NA,NA
gene:vir:1923,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14740,Plasmid,Plasmid secretion or conjugation machinery,VirB4 secretion system protein,pAG1_p14,NA,NA,NA,NA,NA,NA
gene:plasmid:28575,Plasmid ARG,Plasmid ARG,tetracycline resistance protein,pKH6_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:19733,IS,NA,IS1R,D742_p2115,IS1R,IS1,None,Escherichia coli,547,3.00E-156
gene:plasmid:124923,Plasmid,Unclassified plasmid gene,unknown protein,SSP_RS12320,NA,NA,NA,NA,NA,NA
gene:proph:174191,Prophage,NA,hypothetical protein,CKL_2620,NA,NA,NA,NA,NA,NA
gene:plasmid:151029,IS,NA,IS15DI,pMUR050_023,IS15DI,IS6,None,Salmonella panama,1390,0
gene:plasmid:85091,Plasmid,PREPIM,replication initiation protein,pLEW6932_p45,NA,NA,NA,NA,NA,NA
gene:plasmid:85826,Plasmid,Plasmid transposition_recombination_integration,Site-specific integrase,Rsph17025_3738,NA,NA,NA,NA,NA,NA
gene:plasmid:24702,Plasmid,PTTREG,ycjA plasmid repressor ,ERROR,NA,NA,NA,NA,NA,NA
gene:proph:162991,Prophage,NA,hypothetical protein,llmg_0814,NA,NA,NA,NA,NA,NA
gene:proph:180409,Prophage,NA,hypothetical protein,spyM18_0358,NA,NA,NA,NA,NA,NA
gene:plasmid:147544,Plasmid,Plasmid secretion or conjugation machinery,VirD2 T4SS component,pTet_35,NA,NA,NA,NA,NA,NA
gene:proph:162031,Prophage,NA,phiETA ORF60-like protein,SAV0908,NA,NA,NA,NA,NA,NA
gene:plasmid:17007,TE,NA,TnpA2,pIP843_p1,ISEcp1,NA,NA,Escherichia coli,2456,0
gene:plasmid:19639,Plasmid,Plasmid non_conjugative efflux_transport,ybjA membrane protein,D742_p2037,NA,NA,NA,NA,NA,NA
gene:plasmid:119574,Plasmid ARG,Plasmid ARG,transcriptional regulator MerD,pBS228_p054,NA,NA,NA,NA,NA,NA
gene:vir:108969,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6985,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151536,Plasmid,Plasmid relaxase and mobilization machinery,mobilization protein,pSHaeC10,NA,NA,NA,NA,NA,NA
gene:plasmid:158902,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:19500,Plasmid,Plasmid secretion or conjugation machinery,pilK motilitation and chemotaxis protein,ERROR,NA,NA,NA,NA,NA,NA
gene:proph:160246,Prophage,NA,hypothetical protein,SAOUHSC_02237,NA,NA,NA,NA,NA,NA
gene:proph:159053,Prophage,NA,putative tail fiber assembly protein TfaE,b1156,NA,NA,NA,NA,NA,NA
gene:plasmid:93375,Plasmid,Plasmid biosynthesis_regulatory_enzymes,Type III restriction endonuclease,pLEW279b_p15,NA,NA,NA,NA,NA,NA
gene:plasmid:91655,Plasmid,Hypothetical plasmid protein,hypothetical protein,SNSL254_pSN254_0034,NA,NA,NA,NA,NA,NA
gene:plasmid:92509,Plasmid,Hypothetical plasmid protein,hypothetical protein,Swit_4904,NA,NA,NA,NA,NA,NA
gene:plasmid:15547,IS,NA,IS256 family transposase,EF_RS16420,IS256,IS256,None,Staphylococcus aureus,2325,0
gene:vir:7055,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176059,Prophage,NA,minor tail protein Z,ECP_1175,NA,NA,NA,NA,NA,NA
IncA/C2_1__JN157804,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:84597,Plasmid,PREPIM,repA,SF0157_p04,NA,NA,NA,NA,NA,NA
gene:vir:106564,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:82863,Plasmid,PREPIM,replication initiation protein,pLEW279a_p14,NA,NA,NA,NA,NA,NA
gene:proph:182953,Prophage,NA,phage late control gene D protein,EcHS_A0948,NA,NA,NA,NA,NA,NA
gene:plasmid:30148,Plasmid ARG,Plasmid ARG,putative lincosamide nucleotidyltransferase,pIE1115p08,NA,NA,NA,NA,NA,NA
gene:vir:3472,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:167991,IS,NA,transposase IS100,YPTB1808,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:proph:182641,Prophage,NA,membrane-bound lytic transglycosylase F,SF2605,NA,NA,NA,NA,NA,NA
gene:vir:2051,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:136316,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,bacteriocin UviB,CPR_B0002,NA,NA,NA,NA,NA,NA
gene:plasmid:17141,Plasmid,Plasmid biosynthesis_regulatory_enzymes,rRNA methylase regulatory protein,pTE44_p1,NA,NA,NA,NA,NA,NA
gene:vir:96210,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:129991,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,PemK toxin-antitoxin,p256_03,NA,NA,NA,NA,NA,NA
gene:vir:105342,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:180541,Prophage,NA,hypothetical protein,spyM18_1285,NA,NA,NA,NA,NA,NA
gene:plasmid:123330,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,GlcNAc transferase hypertonic stress response ,O2ColV27,NA,NA,NA,NA,NA,NA
gene:plasmid:15399,Plasmid,PREPIM,Putative plasmid maintenance protein,R751p47,NA,NA,NA,NA,NA,NA
gene:plasmid:84226,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,phosphate-starvation-inducible PsiE protein stress,OANT_RS23005,NA,NA,NA,NA,NA,NA
gene:vir:96163,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
IncN_1__AY046276,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:134556,Plasmid,PTTREG,tRNA,TM1040_R0065,NA,NA,NA,NA,NA,NA
gene:plasmid:84545,Plasmid,PREPIM,repA1 regulator,D616_p81113,NA,NA,NA,NA,NA,NA
gene:vir:94014,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181423,Prophage,NA,hypothetical protein,USA300HOU_1981,NA,NA,NA,NA,NA,NA
gene:plasmid:155310,IS,NA,ISLpl3,pRH45II_p09,ISLpl3,IS5,IS427,Lactobacillus plantarum,841,0
gene:plasmid:130626,Plasmid ARG,Plasmid ARG,hypothetical protein,pKB1_p046,NA,NA,NA,NA,NA,NA
gene:vir:95806,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:107099,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:87036,TE,NA,TnpA,pK214_p33,IS1216E,NA,NA,Enterococcus faecium,1360,0
gene:plasmid:84615,IS,NA,IS30D,SF0157_p76,IS30D,IS30,None,Escherichia coli,2276,0
gene:proph:181047,Prophage,NA,phage baseplate assembly protein,UTI89_C0926,NA,NA,NA,NA,NA,NA
gene:vir:108492,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181046,Prophage,NA,phage protein gpI,UTI89_C0925,NA,NA,NA,NA,NA,NA
gene:proph:174244,Prophage,NA,hypothetical protein,CKL_2639,NA,NA,NA,NA,NA,NA
gene:vir:108842,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:236,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151306,IS,NA,IS100kyp,pCoo019,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1965,0
gene:plasmid:17371,Plasmid,Plasmid biosynthesis_regulatory_enzymes,matR maturase intron,pAH82_p11,NA,NA,NA,NA,NA,NA
gene:plasmid:139262,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,DNA starvation / stationary phase protection protein in stress response,LSL_RS09835,NA,NA,NA,NA,NA,NA
gene:vir:103496,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:30896,Plasmid,PREPIM,repA,D744_p6035,NA,NA,NA,NA,NA,NA
gene:vir:102974,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14572,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,LuxR transcriptional regulatory in quorum sensing and stress response,CPE_RS00265,NA,NA,NA,NA,NA,NA
gene:plasmid:122396,Plasmid ARG,Plasmid ARG,tetracycline resistance protein,SAUSA300_pUSA020001,NA,NA,NA,NA,NA,NA
gene:vir:103515,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6087,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17458,IS,NA,IS1297,pli0049,IS1297,IS6,None,Leuconostoc mesenteroides,1346,0
gene:plasmid:154832,Plasmid,Plasmid biosynthesis_regulatory_enzymes,acyl-CoA synthetase,Pden_4820,NA,NA,NA,NA,NA,NA
gene:plasmid:152547,Plasmid,Plasmid relaxase and mobilization machinery,MoA/MobB protein,pMG8282_01,NA,NA,NA,NA,NA,NA
gene:plasmid:154547,IS,NA,ISPye33,Pden_4540,ISPye33,IS66,None,Paracoccus yeei,781,0
gene:plasmid:112748,IS,NA,IS431mec,SSP_RS12520,IS431mec,IS6,None,Staphylococcus aureus,1275,0
gene:plasmid:138692,Plasmid ARG,Plasmid ARG,multidrug resistance efflux protein Smr,pSW49_03,NA,NA,NA,NA,NA,NA
gene:vir:7222,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:160958,IS,NA,transposase for insertion sequence IS100,YPN_1561,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:vir:103411,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:88467,Plasmid ARG,Plasmid ARG,DNA-binding transcriptional repressor ArsR,KPN_pKPN3p05918,NA,NA,NA,NA,NA,NA
gene:plasmid:158835,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:155033,Plasmid,Plasmid biosynthesis_regulatory_enzymes,beta-ketoadipyl CoA thiolase,Pden_5022,NA,NA,NA,NA,NA,NA
gene:plasmid:129173,TE,NA,Tn402 related protein,pKJK5_38,ISPye52,NA,NA,Paracoccus yeei,34.2,0.37
gene:plasmid:25366,IS,NA,IS1F,pWR501_0240,IS1F,IS1,None,Escherichia coli,531,2.00E-151
gene:vir:107112,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108401,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|366|ICESpnN24|GenBank|EU676261|1..1026,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
rep7b_3_SAP089A_GQ900440.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181316,Prophage,NA,DNA packaging protein of prophage,SSON_2430,NA,NA,NA,NA,NA,NA
gene:plasmid:156368,Plasmid,PREPIM,rep protein,pVEF229,NA,NA,NA,NA,NA,NA
gene:proph:181145,Prophage,NA,minor tail protein,UTI89_C5129,NA,NA,NA,NA,NA,NA
gene:proph:169135,Prophage,NA,phage tail protein,SBO_1395,NA,NA,NA,NA,NA,NA
gene:vir:105328,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135663,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRE25p22,NA,NA,NA,NA,NA,NA
gene:vir:80690,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28925,Plasmid,Hypothetical plasmid protein,hypothetical protein,SE_RS11825,NA,NA,NA,NA,NA,NA
gene:plasmid:139557,Plasmid,PTTREG,tRNA,RS_RS18470,NA,NA,NA,NA,NA,NA
gene:plasmid:145673,Plasmid,Hypothetical plasmid protein,hypothetical protein,Pcryo_2489,NA,NA,NA,NA,NA,NA
gene:proph:163801,Prophage,NA,phage protein gpU,EcE24377A_0997,NA,NA,NA,NA,NA,NA
gene:plasmid:19869,Plasmid,PREPIM,rep protein,pKYM_p1,NA,NA,NA,NA,NA,NA
gene:plasmid:24680,TE,NA,TnpR,ERROR,None,NA,NA,None,0,0
gene:proph:179404,Prophage,NA,hypothetical protein,c0958,NA,NA,NA,NA,NA,NA
gene:plasmid:90627,Plasmid,Plasmid biosynthesis_regulatory_enzymes,DNA polymerase beta subunit,Bcep1808_7238,NA,NA,NA,NA,NA,NA
gene:vir:5695,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6092,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139575,Plasmid,Plasmid relaxase and mobilization machinery,TraG conjugation protein,O2R_20,NA,NA,NA,NA,NA,NA
gene:plasmid:132139,Plasmid,Plasmid biosynthesis_regulatory_enzymes,matR maturase intron,LACR_C19,NA,NA,NA,NA,NA,NA
gene:plasmid:140775,Plasmid,Plasmid biosynthesis_regulatory_enzymes,glxD gluamate synthase,RHE_PE00419,NA,NA,NA,NA,NA,NA
gene:vir:103814,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:121533,Plasmid,Plasmid virulence and pathogenicity domain,Lipoprotein,LH0179,NA,NA,NA,NA,NA,NA
repUS1__ORF(E.faeciumContig1258)_JDOE,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6461,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103658,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:26588,TE,NA,TRm17b transposase,SMa1637,ISRm17,NA,NA,Sinorhizobium meliloti,981,0
gene:plasmid:147573,Plasmid,Plasmid relaxase and mobilization machinery,TraO,SAUSA300_pUSA030023,NA,NA,NA,NA,NA,NA
gene:plasmid:132154,IS,NA,ISLIa3,LACR_C34,ISLla3,IS3,IS150,Lactococcus lactis,1739,0
gene:plasmid:14673,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE3P003,NA,NA,NA,NA,NA,NA
gene:proph:184355,IS,NA,transposase,LACR_1797,IS981,IS3,IS3,Lactococcus lactis,1655,0
gene:plasmid:123302,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV52,NA,NA,NA,NA,NA,NA
gene:plasmid:20422,Plasmid ARG,Plasmid ARG,putative transmembrane protein,pWWO_p110,NA,NA,NA,NA,NA,NA
gene:plasmid:87054,TE,NA,Tn3_ISPa38,ESA_RS20525,ISPa38,NA,NA,Pseudomonas aeruginosa,735,0
gene:vir:80693,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14763,Plasmid,Hypothetical plasmid protein,hypothetical protein,pTET3_p18,NA,NA,NA,NA,NA,NA
gene:proph:182549,Prophage,NA,hypothetical protein,SAUSA300_1394,NA,NA,NA,NA,NA,NA
gene:plasmid:83806,IS,NA,IS26,YpIP275_pIP1202_0068,IS26,IS6,None,Proteus vulgaris,1433,0
gene:plasmid:17787,Plasmid,Hypothetical plasmid protein,hypothetical protein,msl9347,NA,NA,NA,NA,NA,NA
gene:plasmid:123355,IS,NA,ISEc37,O2ColV81,ISEc37,IS91,None,Escherichia coli,559,1.00E-159
gene:plasmid:84544,Plasmid,Hypothetical plasmid protein,hypothetical protein,D616_p81112,NA,NA,NA,NA,NA,NA
gene:plasmid:124920,Plasmid,Plasmid biosynthesis_regulatory_enzymes,acyl-CoA-thioesterase,SSP_RS12305,NA,NA,NA,NA,NA,NA
gene:plasmid:124053,Plasmid,Plasmid secretion or conjugation machinery,FtsK/SpoIIIE domain-containing protein DNA translocation,pCPF4969_18,NA,NA,NA,NA,NA,NA
gene:plasmid:82852,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p03,NA,NA,NA,NA,NA,NA
gene:plasmid:135703,Plasmid,Plasmid transposition_recombination_integration,recombinase protein,LVIS_RS23005,NA,NA,NA,NA,NA,NA
gene:vir:103540,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:173307,Prophage,NA,hypothetical protein,SaurJH1_1042,NA,NA,NA,NA,NA,NA
gene:plasmid:15670,Plasmid,Plasmid non_conjugative efflux_transport,ABC transporter binding protein,pRUM_p25,NA,NA,NA,NA,NA,NA
gene:plasmid:14838,Plasmid,Plasmid transposition_recombination_integration,XerD recombinase,pK43_07,NA,NA,NA,NA,NA,NA
gene:proph:175659,Prophage,NA,DNA integration/recombination/inversion protein,MGAS10270_Spy1874,NA,NA,NA,NA,NA,NA
gene:plasmid:14953,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,YtpH Corynebacterium striatum stress protein,pTP10_p28,NA,NA,NA,NA,NA,NA
gene:plasmid:17276,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSRQ800_02,NA,NA,NA,NA,NA,NA
gene:plasmid:123323,IS,NA,IS640,O2ColV20,IS640,IS21,None,Shigella sonnei,626,6.00E-180
gene:plasmid:85931,Plasmid,Plasmid transposition_recombination_integration,Integrase core domain protein,Rsph17025_3560,NA,NA,NA,NA,NA,NA
gene:vir:4036,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119372,Plasmid ARG,Plasmid ARG,cadmium resistance regulatory protein,pAG6_06,NA,NA,NA,NA,NA,NA
gene:proph:163931,Prophage,NA,phage O family protein,EcE24377A_1775,NA,NA,NA,NA,NA,NA
gene:plasmid:139655,Plasmid,Plasmid relaxase and mobilization machinery,TraA,O2R_46,NA,NA,NA,NA,NA,NA
gene:plasmid:91787,IS,NA,IS26,KPN_pKPN5p08177,IS26,IS6,None,Proteus vulgaris,1421,0
gene:proph:169132,Prophage,NA,tail fiber assembly protein,SBO_1392,NA,NA,NA,NA,NA,NA
gene:vir:80692,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:150090,Plasmid,Plasmid relaxase and mobilization machinery,TraJ,pB8_045,NA,NA,NA,NA,NA,NA
gene:plasmid:127546,Virus,NA,fadA Fusobacterium adhesin and virulence,RER_RS01750,NA,NA,NA,NA,NA,NA
gene:plasmid:91533,Plasmid,Unclassified plasmid gene,Urf2 EAL domain-containing protein,SNSL254_pSN254_0161,NA,NA,NA,NA,NA,NA
gene:plasmid:28723,Plasmid,PTTREG,ArtA IS1 transcriptional regulator,VRA0007,NA,NA,NA,NA,NA,NA
gene:vir:105943,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepA_1_pKPC-CAV1321_CP011611,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28802,Plasmid,Plasmid relaxase and mobilization machinery,TraA,SAVP003,NA,NA,NA,NA,NA,NA
gene:proph:184758,Prophage,NA,hypothetical protein,LREU_RS04335,NA,NA,NA,NA,NA,NA
gene:plasmid:153746,Virus,NA,PecM virulence factor repressor,pTB11p06,NA,NA,NA,NA,NA,NA
gene:proph:176821,Prophage,NA,phage major tail subunit,APECO1_1017,NA,NA,NA,NA,NA,NA
gene:plasmid:28993,Plasmid,Unclassified plasmid gene,ORF6,pSSU1_p6,NA,NA,NA,NA,NA,NA
gene:plasmid:158823,Virus,NA,VagC Salmonella virulence factor,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:84389,Plasmid,Plasmid transposition_recombination_integration,Resolvase,pMATVM7_10,NA,NA,NA,NA,NA,NA
gene:plasmid:151483,Plasmid,PREPIM,rep protein,pSHaeB02,NA,NA,NA,NA,NA,NA
gene:plasmid:85803,Plasmid,Unclassified plasmid gene,unknown protein,Rsph17025_3714,NA,NA,NA,NA,NA,NA
gene:vir:107137,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181683,Prophage,NA,phage protein,M28_Spy1857,NA,NA,NA,NA,NA,NA
gene:plasmid:109761,Plasmid,Plasmid virulence and pathogenicity domain,Pseudomonas PilT protein injection into epithelial cells,Mkms_5559,NA,NA,NA,NA,NA,NA
